wall_time,elapsed_s,sensor,distance_cm,ttc_s,alert
2026-08-04 04:20:17.498,0.103,left,200.0,,
2026-08-04 04:20:17.499,0.103,center,190.0,1.90,
2026-08-04 04:20:17.499,0.103,right,200.0,,
2026-08-04 04:20:17.600,0.205,left,200.0,,
2026-08-04 04:20:17.600,0.205,center,180.0,1.80,
2026-08-04 04:20:17.601,0.205,right,200.0,,
2026-08-04 04:20:17.701,0.306,left,200.0,,
2026-08-04 04:20:17.702,0.306,center,170.0,1.70,
2026-08-04 04:20:17.702,0.306,right,200.0,,
2026-08-04 04:20:17.802,0.407,left,200.0,,
2026-08-04 04:20:17.802,0.407,center,160.0,1.60,
2026-08-04 04:20:17.802,0.407,right,200.0,,
2026-08-04 04:20:17.903,0.508,left,200.0,,
2026-08-04 04:20:17.904,0.508,center,150.0,1.50,
2026-08-04 04:20:17.904,0.508,right,200.0,,
2026-08-04 04:20:18.021,0.625,left,200.0,,
2026-08-04 04:20:18.041,0.646,center,140.0,1.40,haptic
2026-08-04 04:20:18.041,0.646,right,200.0,,
2026-08-04 04:20:18.142,0.746,left,200.0,,
2026-08-04 04:20:18.143,0.748,center,130.0,1.30,haptic
2026-08-04 04:20:18.143,0.748,right,200.0,,
2026-08-04 04:20:18.244,0.848,left,200.0,,
2026-08-04 04:20:18.245,0.849,center,120.0,1.20,haptic
2026-08-04 04:20:18.245,0.850,right,200.0,,
2026-08-04 04:20:18.346,0.950,left,200.0,,
2026-08-04 04:20:18.347,0.951,center,110.0,1.10,haptic
2026-08-04 04:20:18.347,0.951,right,200.0,,
2026-08-04 04:20:18.447,1.052,left,200.0,,
2026-08-04 04:20:18.448,1.053,center,100.0,1.00,haptic
2026-08-04 04:20:18.449,1.053,right,200.0,,
2026-08-04 04:20:18.549,1.154,left,200.0,,
2026-08-04 04:20:18.550,1.155,center,90.0,0.90,haptic+audio
2026-08-04 04:20:18.552,1.156,right,200.0,,
2026-08-04 04:20:18.652,1.257,left,200.0,,
2026-08-04 04:20:18.653,1.258,center,80.0,0.80,haptic
2026-08-04 04:20:18.653,1.258,right,200.0,,
2026-08-04 04:20:18.754,1.358,left,200.0,,
2026-08-04 04:20:18.754,1.359,center,70.0,0.70,haptic
2026-08-04 04:20:18.755,1.359,right,200.0,,
2026-08-04 04:20:18.855,1.460,left,200.0,,
2026-08-04 04:20:18.856,1.460,center,60.0,0.60,haptic
2026-08-04 04:20:18.856,1.460,right,200.0,,
2026-08-04 04:20:18.957,1.561,left,200.0,,
2026-08-04 04:20:18.958,1.562,center,50.0,0.50,haptic
2026-08-04 04:20:18.958,1.562,right,200.0,,
2026-08-04 04:20:19.058,1.663,left,200.0,,
2026-08-04 04:20:19.059,1.664,center,40.0,0.40,haptic
2026-08-04 04:20:19.059,1.664,right,200.0,,
2026-08-04 04:20:19.160,1.764,left,200.0,,
2026-08-04 04:20:19.161,1.765,center,30.0,0.30,haptic
2026-08-04 04:20:19.161,1.765,right,200.0,,
2026-08-04 04:20:19.261,1.866,left,200.0,,
2026-08-04 04:20:19.262,1.867,center,20.0,0.20,haptic
2026-08-04 04:20:19.262,1.867,right,200.0,,
2026-08-04 04:20:19.363,1.967,left,200.0,,
2026-08-04 04:20:19.364,1.968,center,10.0,0.10,haptic
2026-08-04 04:20:19.364,1.968,right,200.0,,
