wall_time,elapsed_s,sensor,distance_cm,ttc_s,alert
2026-08-15 21:57:53.939,0.103,left,200.0,,
2026-08-15 21:57:53.939,0.103,center,190.0,1.90,
2026-08-15 21:57:53.939,0.103,right,200.0,,
2026-08-15 21:57:54.040,0.204,left,200.0,,
2026-08-15 21:57:54.041,0.205,center,180.0,1.80,
2026-08-15 21:57:54.041,0.205,right,200.0,,
2026-08-15 21:57:54.142,0.306,left,200.0,,
2026-08-15 21:57:54.142,0.306,center,170.0,1.70,
2026-08-15 21:57:54.142,0.306,right,200.0,,
2026-08-15 21:57:54.243,0.407,left,200.0,,
2026-08-15 21:57:54.243,0.407,center,160.0,1.60,
2026-08-15 21:57:54.243,0.407,right,200.0,,
2026-08-15 21:57:54.343,0.507,left,200.0,,
2026-08-15 21:57:54.344,0.507,center,150.0,1.50,
2026-08-15 21:57:54.344,0.508,right,200.0,,
2026-08-15 21:57:54.444,0.608,left,200.0,,
2026-08-15 21:57:54.445,0.609,center,140.0,1.40,haptic
2026-08-15 21:57:54.445,0.609,right,200.0,,
2026-08-15 21:57:54.546,0.710,left,200.0,,
2026-08-15 21:57:54.547,0.711,center,130.0,1.30,haptic
2026-08-15 21:57:54.547,0.711,right,200.0,,
2026-08-15 21:57:54.648,0.812,left,200.0,,
2026-08-15 21:57:54.649,0.813,center,120.0,1.20,haptic
2026-08-15 21:57:54.649,0.813,right,200.0,,
2026-08-15 21:57:54.750,0.914,left,200.0,,
2026-08-15 21:57:54.751,0.915,center,110.0,1.10,haptic
2026-08-15 21:57:54.751,0.915,right,200.0,,
2026-08-15 21:57:54.852,1.016,left,200.0,,
2026-08-15 21:57:54.853,1.016,center,100.0,1.00,haptic
2026-08-15 21:57:54.853,1.017,right,200.0,,
2026-08-15 21:57:54.953,1.117,left,200.0,,
2026-08-15 21:57:54.954,1.118,center,90.0,0.90,haptic+audio
2026-08-15 21:57:54.955,1.119,right,200.0,,
2026-08-15 21:57:55.057,1.221,left,200.0,,
2026-08-15 21:57:55.058,1.222,center,80.0,0.80,haptic
2026-08-15 21:57:55.058,1.222,right,200.0,,
2026-08-15 21:57:55.158,1.322,left,200.0,,
2026-08-15 21:57:55.159,1.323,center,70.0,0.70,haptic
2026-08-15 21:57:55.160,1.324,right,200.0,,
2026-08-15 21:57:55.260,1.424,left,200.0,,
2026-08-15 21:57:55.261,1.425,center,60.0,0.60,haptic
2026-08-15 21:57:55.261,1.425,right,200.0,,
2026-08-15 21:57:55.362,1.526,left,200.0,,
2026-08-15 21:57:55.363,1.527,center,50.0,0.50,haptic
2026-08-15 21:57:55.363,1.527,right,200.0,,
2026-08-15 21:57:55.464,1.628,left,200.0,,
2026-08-15 21:57:55.465,1.629,center,40.0,0.40,haptic
2026-08-15 21:57:55.465,1.629,right,200.0,,
2026-08-15 21:57:55.565,1.729,left,200.0,,
2026-08-15 21:57:55.566,1.730,center,30.0,0.30,haptic
2026-08-15 21:57:55.566,1.730,right,200.0,,
2026-08-15 21:57:55.667,1.831,left,200.0,,
2026-08-15 21:57:55.668,1.832,center,20.0,0.20,haptic
2026-08-15 21:57:55.668,1.832,right,200.0,,
2026-08-15 21:57:55.769,1.933,left,200.0,,
2026-08-15 21:57:55.770,1.934,center,10.0,0.10,haptic
2026-08-15 21:57:55.770,1.934,right,200.0,,
